training_seed,condition_id,condition_family,joint_one_based,success_count,success_rate,success_rate_delta_vs_baseline,desired_revolutions_mean,desired_revolutions_delta_mean,desired_revolutions_delta_ci_low,desired_revolutions_delta_ci_high,forward_body_lengths_mean,forward_body_lengths_delta_mean,forward_body_lengths_delta_ci_low,forward_body_lengths_delta_ci_high,desired_active_rotation_fraction_mean,desired_active_rotation_fraction_delta_mean,desired_active_rotation_fraction_delta_ci_low,desired_active_rotation_fraction_delta_ci_high
9201,J01_K1_OFF,joint_k1_ablation,1.0,16,0.8,-0.19999999999999996,1.4281280419760123,-0.8383779949254677,-1.132407835575744,-0.5568596012553603,2.888198422179243,-0.24034960087974047,-0.7476505930423764,0.174250632602559,0.7492558966971798,-0.10147559487125521,-0.14359081631937592,-0.06304826147207189
9201,J02_K1_OFF,joint_k1_ablation,2.0,0,0.0,-1.0,0.006488761104302505,-2.2600172757971775,-2.4369421454444633,-2.0744089464143194,0.6541238719256841,-2.4744241511332996,-2.628645993430799,-2.3228068279119043,0.4848088965233187,-0.36592259504511626,-0.38447847982915,-0.3453667055997079
9201,J03_K1_OFF,joint_k1_ablation,3.0,4,0.2,-0.8,0.5315237003267479,-1.7349823365747319,-1.965240763616106,-1.5006652439857924,1.3985755967012028,-1.7299724263577811,-1.9612400712042095,-1.4814882662025817,0.5858482977894649,-0.26488319377896996,-0.30561647473964315,-0.22356110929641765
9201,J04_K1_OFF,joint_k1_ablation,4.0,0,0.0,-1.0,-0.12358584289800956,-2.3900918797994892,-2.5702880106610992,-2.1982480275281544,1.1642518035480034,-1.9642962195109799,-2.1533058339932762,-1.7852309441299723,0.5020045239401835,-0.3487269676282515,-0.37097728216029774,-0.32522363669790605
9201,J05_K1_OFF,joint_k1_ablation,5.0,19,0.95,-0.050000000000000044,1.816734386817733,-0.44977165008374753,-0.7042959381437044,-0.20748390529947353,2.7194503304832156,-0.4090976925757682,-0.7396135990522418,-0.10012158501875308,0.807179077399744,-0.043552414168691045,-0.07915514114227681,-0.01024587567426563
9201,J06_K1_OFF,joint_k1_ablation,6.0,20,1.0,0.0,1.901106526936814,-0.36539950996466575,-0.5698794224369627,-0.17108043950378976,2.8064207952683202,-0.3221272277906639,-0.5795300588952311,-0.05623690638627582,0.8281130677966433,-0.022618423771791712,-0.04499626367719659,0.00034994699493354615
9201,J07_K1_OFF,joint_k1_ablation,7.0,19,0.95,-0.050000000000000044,2.150146601094991,-0.11635943580648914,-0.47439695878882604,0.1793081208674389,2.820931633507059,-0.30761638955192466,-0.7819601634823862,0.05193438437209269,0.8426217942020827,-0.008109697366352253,-0.050944494247736914,0.0266706700288315
9201,J08_K1_OFF,joint_k1_ablation,8.0,20,1.0,0.0,2.1359784608474968,-0.13052757605398346,-0.3280097980635208,0.07370852974600456,2.984945675367267,-0.1436023476917167,-0.37510472482480217,0.06799376459156506,0.838273728681411,-0.012457762887023887,-0.037871140853507006,0.014943419493353784
9201,J01_K2_OFF,joint_k2_ablation,1.0,12,0.6,-0.4,1.2211646089568526,-1.0453414279446267,-1.3984283490688223,-0.6888272967800533,1.8188641805456254,-1.3096838425133586,-1.8348349256496435,-0.8361866718286999,0.7031247548385167,-0.1476067367299183,-0.18935839271707003,-0.10965001188572664
9201,J02_K2_OFF,joint_k2_ablation,2.0,7,0.35,-0.65,0.7745780545835486,-1.491927982317931,-1.8089929681071426,-1.1446033119761094,1.570650481303185,-1.5578975417557992,-2.299130638055706,-0.7947665715327921,0.6620022949092372,-0.18872919665919782,-0.23299215964482692,-0.14175395997892917
9201,J03_K2_OFF,joint_k2_ablation,3.0,20,1.0,0.0,2.485801114909887,0.2192950780084065,-0.02694701933855016,0.45894468906450075,3.8201641906699684,0.6916161676109848,0.44926467917936375,0.9421497205765456,0.8550795655077243,0.0043480739392892705,-0.02105588138512711,0.03063666284528824
9201,J04_K2_OFF,joint_k2_ablation,4.0,19,0.95,-0.050000000000000044,2.124117597186351,-0.14238843971512882,-0.45915956174837935,0.14128137855177086,3.070174769798884,-0.05837325326010005,-0.3610307856796995,0.19146696457550383,0.8360120683077634,-0.014719423260671572,-0.05128831837233129,0.0181341023991932
9201,J05_K2_OFF,joint_k2_ablation,5.0,20,1.0,0.0,2.374769699128181,0.10826366222670114,-0.14563511085065825,0.36348662448839075,3.7017741590689974,0.5732261360100137,0.332550216513628,0.824031724882328,0.8435422833101847,-0.007189208258250407,-0.026375869684683917,0.012240737537107001
9201,J06_K2_OFF,joint_k2_ablation,6.0,20,1.0,0.0,2.713106094364575,0.4466000574630951,0.29728639757864744,0.6086967696844431,3.470716050755874,0.34216802769688953,0.16358187652633618,0.5176741097816602,0.8764599557046487,0.025728464136213852,0.0044448885249248815,0.04764132056888411
9201,J07_K2_OFF,joint_k2_ablation,7.0,20,1.0,0.0,2.330660276685443,0.06415423978396297,-0.13107096608213373,0.25364554738599593,3.16654906701092,0.03800104395193642,-0.22322593517966216,0.29521493295405693,0.8652442015300362,0.0145127099616012,-0.004140068138795279,0.034556468180901946
9201,J08_K2_OFF,joint_k2_ablation,8.0,20,1.0,0.0,2.487352132586824,0.22084609568534433,-0.04111116662676974,0.4960319855622503,3.2215485738824183,0.09300055082343439,-0.09765765747812133,0.29039912706117094,0.8617924134991336,0.011060921930698686,-0.013743761957626268,0.03579742571805892
9205,BASELINE,global,,20,1.0,0.0,1.604744605656076,0.0,0.0,0.0,2.7073029136883395,0.0,0.0,0.0,0.8623090622348869,0.0,0.0,0.0
9205,GLOBAL_K1_OFF,global,,0,0.0,-1.0,0.00800465878070768,-1.596739946875368,-1.6835991824523662,-1.5006969965704584,-0.02569183612896967,-2.7329947498173084,-2.9340056031549464,-2.5251845995961815,0.5509345964776156,-0.3113744657572711,-0.3312593769685275,-0.287910087663779
9205,GLOBAL_K2_OFF,global,,0,0.0,-1.0,0.39306852833001926,-1.2116760773260564,-1.3676699827820789,-1.0533933981144126,0.9945509484220194,-1.7127519652663203,-2.105244280449069,-1.300387228240954,0.5760013633447345,-0.2863076988901522,-0.3181379992706663,-0.2530877454766571
9205,GLOBAL_BOTH_OFF,global,,0,0.0,-1.0,1.1653846816431337e-05,-1.6047329518092588,-1.692084442913526,-1.5076031555510832,-1.155759482307676e-05,-2.707314471283163,-2.9099801773458513,-2.5012840174025506,0.4330485560748718,-0.4292605061600149,-0.5907569345373702,-0.2667300038696984
9205,J01_BOTH_OFF,whole_joint_ablation,1.0,0,0.0,-1.0,0.004870486270153969,-1.5998741193859218,-1.6876193669167665,-1.50528399592822,0.023671269640913154,-2.6836316440474266,-2.8822798392852373,-2.4772958674466907,0.4800242619544929,-0.38228480028039397,-0.40287831181867273,-0.3571858851220759
9205,J02_BOTH_OFF,whole_joint_ablation,2.0,0,0.0,-1.0,-0.0023125112838637946,-1.6070571169399392,-1.6961916641995618,-1.5104448756377507,0.06817660815494303,-2.639126305533397,-2.8462352238990576,-2.421168990307404,0.4899343389758619,-0.37237472325902476,-0.39814726522571103,-0.34370168104847315
9205,J03_BOTH_OFF,whole_joint_ablation,3.0,0,0.0,-1.0,0.004178219233392967,-1.600566386422683,-1.6874691348690223,-1.5053635279507342,0.009936731126979155,-2.6973661825613604,-2.8987848648931354,-2.4899057201478745,0.43650454696855806,-0.42580451526632873,-0.44556885620855635,-0.40207497982262264
9205,J04_BOTH_OFF,whole_joint_ablation,4.0,19,0.95,-0.050000000000000044,1.492024831638838,-0.11271977401723747,-0.281382897438118,0.060368126152195944,2.2662036540087795,-0.4410992596795598,-0.7407395666204343,-0.12609133556892896,0.8594531283209955,-0.002855933913891212,-0.027332245462329284,0.02321065042123721
9205,J05_BOTH_OFF,whole_joint_ablation,5.0,2,0.1,-0.9,0.3366410579317353,-1.2681035477243403,-1.454893142856153,-1.0427060247299706,0.4408584631394275,-2.266444450548912,-2.5858388809484643,-1.924166858009518,0.7225271213436002,-0.13978194089128654,-0.1909417729317631,-0.0825611970209682
9205,J06_BOTH_OFF,whole_joint_ablation,6.0,13,0.65,-0.35,1.2140078779088173,-0.3907367277472584,-0.7201814643839307,-0.0665591669359689,1.4165153207609444,-1.2907875929273955,-1.783932287676577,-0.8116800681006847,0.731101278105543,-0.13120778412934375,-0.19756155162827635,-0.0651331068830105
9205,J07_BOTH_OFF,whole_joint_ablation,7.0,0,0.0,-1.0,0.1899997715046106,-1.414744834151465,-1.5043020840324814,-1.317992567516869,0.3665749497938984,-2.3407279638944414,-2.544135894775596,-2.1342920874515405,0.7380240627613996,-0.12428499947348723,-0.1495246198256904,-0.09675962357880424
9205,J08_BOTH_OFF,whole_joint_ablation,8.0,19,0.95,-0.050000000000000044,1.6131552828293465,0.008410677173270709,-0.15363701969810067,0.14260616157439399,2.6960265964320795,-0.011276317256260071,-0.4122396689401286,0.3386250936651265,0.865843128506134,0.0035340662712471825,-0.023951471933214254,0.035929087537320305
